policy,action_space,dataset_size,view_id,run_id,attempt_id,source_git_commit,master_dataset_fingerprint,action_dataset_fingerprint,view_fingerprint,split_id,norm_stats_id,normalization_fingerprint,train_run_id,checkpoint_path,checkpoint_sha256,open_loop_report_path,closed_loop_eval_json_paths,per_rollout_table_path,wandb_or_offline_log_path,return_manifest_file_count,primary_or_diagnostic,status,exclusion_reason
act,A2_ee_delta,50,v3_scale_n50,sweep_act_a2_n50_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,5179595aeeb7a69898456750658feb59b6a2aaff1821f6ce8af36739f04f9e06,cb249cd263707ccec68b511e65a4f690585753034dbdd3451521e2e75b465985,2400972c1432f953a79c86e4e29596f4741e493974917e0cbeefaf9e0b2b4c8a,08d16bed48891afaba3fcdf7c1ba54a2349c3f0f84e4af28ab4cae6397db8e45,5009eafed2667521a3d08d8c362bb678a7596e103dc5eb0bad1c5002bd0da3de,sweep_act_a2_n50_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/0/sweep_act_a2_n50_seed0/checkpoints/best.pt,8fe31f8fca9048f67e40244b0696b0050347f358fa448b6023cbfa05b01437cf,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/0/sweep_act_a2_n50_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n50_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n50_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n50_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n50_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n50_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/0/sweep_act_a2_n50_seed0/wandb/wandb/offline-run-20260713_230325-7jw9qsir""]",736,primary,complete,
act,A3_obj_rel_ee_delta,50,v3_scale_n50,sweep_act_a3_n50_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,3b528ceb451e9547c2aec76d47dafbf7129f870bdfaa6c691769304487ca615f,cb249cd263707ccec68b511e65a4f690585753034dbdd3451521e2e75b465985,2400972c1432f953a79c86e4e29596f4741e493974917e0cbeefaf9e0b2b4c8a,9b284c11e42e1db72262bf251b76e3937fc645cd1be73bf35f42147e219ef7fe,12b2b2bda40a8681b376b6a0d5c612635e74135ee6113328182e93454190b66f,sweep_act_a3_n50_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/1/sweep_act_a3_n50_seed0/checkpoints/best.pt,1b6fade66d107c28139f47adca93f6f07d47bf6d5917cc3c10bd7b2506f55de8,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/1/sweep_act_a3_n50_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n50_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n50_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n50_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n50_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n50_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/1/sweep_act_a3_n50_seed0/wandb/wandb/offline-run-20260713_230325-w74y0xik""]",736,primary,complete,
diffusion,A2_ee_delta,50,v3_scale_n50,sweep_diffusion_a2_n50_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,5179595aeeb7a69898456750658feb59b6a2aaff1821f6ce8af36739f04f9e06,cb249cd263707ccec68b511e65a4f690585753034dbdd3451521e2e75b465985,2400972c1432f953a79c86e4e29596f4741e493974917e0cbeefaf9e0b2b4c8a,08d16bed48891afaba3fcdf7c1ba54a2349c3f0f84e4af28ab4cae6397db8e45,5009eafed2667521a3d08d8c362bb678a7596e103dc5eb0bad1c5002bd0da3de,sweep_diffusion_a2_n50_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/2/sweep_diffusion_a2_n50_seed0/checkpoints/best.pt,9283c40620c3b452b5ffb91823516572b622fec9c73930c2a0c493da3f6ae4d6,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/2/sweep_diffusion_a2_n50_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n50_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n50_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n50_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n50_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n50_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/2/sweep_diffusion_a2_n50_seed0/wandb/wandb/offline-run-20260713_230938-u1hweeti""]",736,primary,complete,
diffusion,A3_obj_rel_ee_delta,50,v3_scale_n50,sweep_diffusion_a3_n50_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,3b528ceb451e9547c2aec76d47dafbf7129f870bdfaa6c691769304487ca615f,cb249cd263707ccec68b511e65a4f690585753034dbdd3451521e2e75b465985,2400972c1432f953a79c86e4e29596f4741e493974917e0cbeefaf9e0b2b4c8a,9b284c11e42e1db72262bf251b76e3937fc645cd1be73bf35f42147e219ef7fe,12b2b2bda40a8681b376b6a0d5c612635e74135ee6113328182e93454190b66f,sweep_diffusion_a3_n50_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/3/sweep_diffusion_a3_n50_seed0/checkpoints/best.pt,c5b3bf4f3257dc18209f46404eba25c20d702b4fa61b2efaec4d65387055579b,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/3/sweep_diffusion_a3_n50_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n50_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n50_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n50_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n50_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n50_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/3/sweep_diffusion_a3_n50_seed0/wandb/wandb/offline-run-20260713_231044-dz8sbdsa""]",736,primary,complete,
act,A2_ee_delta,100,v3_scale_n100,sweep_act_a2_n100_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,5179595aeeb7a69898456750658feb59b6a2aaff1821f6ce8af36739f04f9e06,79c18252be3b4c56a3bd2bafeeeff3041fc6944ab28dddabce938b2b55ac5d64,af691ca9ad2c1a2187ea8bb8b57f7bfe93c3d2d435bce4cece41697dc2cd7c0f,8c9dbfc2b11f43b395397f058b8291b8ac55a6cd4f280604b7983910e8d71907,8873238aa59085cee413d49ba21ff79a568215ac5dff7246b6f24f6f2f7ea2db,sweep_act_a2_n100_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/4/sweep_act_a2_n100_seed0/checkpoints/best.pt,bfc14ae93cf9244ff8bab4a8fa941a5b72d9df1ebb4998cda4257252937a1c4e,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/4/sweep_act_a2_n100_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n100_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n100_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n100_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n100_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n100_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/4/sweep_act_a2_n100_seed0/wandb/wandb/offline-run-20260713_232350-gu4qiwus""]",736,primary,complete,
act,A3_obj_rel_ee_delta,100,v3_scale_n100,sweep_act_a3_n100_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,3b528ceb451e9547c2aec76d47dafbf7129f870bdfaa6c691769304487ca615f,79c18252be3b4c56a3bd2bafeeeff3041fc6944ab28dddabce938b2b55ac5d64,af691ca9ad2c1a2187ea8bb8b57f7bfe93c3d2d435bce4cece41697dc2cd7c0f,1c2286c39b1501337203b2d4a91737a8a9fe0b675457b65b993ed20bfecee43a,97a8745345cb37350b09d020df0216e09f8e19505a74fd0db893929b3f47a392,sweep_act_a3_n100_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/5/sweep_act_a3_n100_seed0/checkpoints/best.pt,0aa28c4cce700b3c3ea77b27ed272217335af8d23cc8ed549813209f0e7003ef,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/5/sweep_act_a3_n100_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n100_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n100_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n100_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n100_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n100_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/5/sweep_act_a3_n100_seed0/wandb/wandb/offline-run-20260713_232759-02fxelff""]",736,primary,complete,
diffusion,A2_ee_delta,100,v3_scale_n100,sweep_diffusion_a2_n100_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,5179595aeeb7a69898456750658feb59b6a2aaff1821f6ce8af36739f04f9e06,79c18252be3b4c56a3bd2bafeeeff3041fc6944ab28dddabce938b2b55ac5d64,af691ca9ad2c1a2187ea8bb8b57f7bfe93c3d2d435bce4cece41697dc2cd7c0f,8c9dbfc2b11f43b395397f058b8291b8ac55a6cd4f280604b7983910e8d71907,8873238aa59085cee413d49ba21ff79a568215ac5dff7246b6f24f6f2f7ea2db,sweep_diffusion_a2_n100_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/6/sweep_diffusion_a2_n100_seed0/checkpoints/best.pt,96f707b76cfd5cd368c5f00d1c2e4760f423d68b2ee96b6662dd1c69edb361b4,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/6/sweep_diffusion_a2_n100_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n100_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n100_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n100_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n100_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a2_n100_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/6/sweep_diffusion_a2_n100_seed0/wandb/wandb/offline-run-20260713_233513-vujsh2nm""]",736,primary,complete,
diffusion,A3_obj_rel_ee_delta,100,v3_scale_n100,sweep_diffusion_a3_n100_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,3b528ceb451e9547c2aec76d47dafbf7129f870bdfaa6c691769304487ca615f,79c18252be3b4c56a3bd2bafeeeff3041fc6944ab28dddabce938b2b55ac5d64,af691ca9ad2c1a2187ea8bb8b57f7bfe93c3d2d435bce4cece41697dc2cd7c0f,1c2286c39b1501337203b2d4a91737a8a9fe0b675457b65b993ed20bfecee43a,97a8745345cb37350b09d020df0216e09f8e19505a74fd0db893929b3f47a392,sweep_diffusion_a3_n100_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/7/sweep_diffusion_a3_n100_seed0/checkpoints/best.pt,c5542e61006d2f7cb3c422c09702714e263a1a01499f73940a426da05ec32a0f,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/7/sweep_diffusion_a3_n100_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n100_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n100_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n100_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n100_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_diffusion_a3_n100_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/7/sweep_diffusion_a3_n100_seed0/wandb/wandb/offline-run-20260713_233934-j7z9cuiw""]",736,primary,complete,
act,A2_ee_delta,250,v3_scale_n250,sweep_act_a2_n250_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,5179595aeeb7a69898456750658feb59b6a2aaff1821f6ce8af36739f04f9e06,0d130ab0f43a14d1f32db42e5e6480881274e86b8147ce3316640e9e4c4f8166,963a3d358acf6c26aa58702c66432df6cb60984d22cacae6bd2628881255c1b5,1ae14bbfb865bb89e7e29eed0416f4b6f1e2989ec8cdf95985f862e5fa2d8f48,aeb44c7438af7cd7dc18ad22d14b66a79a2f0c147d3ca81f89e62966a833934d,sweep_act_a2_n250_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/8/sweep_act_a2_n250_seed0/checkpoints/best.pt,fa79d6727393dbaabd7fdfa996f2398c3ec3a421aa7a7d2b60f64d7d358e1f41,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/8/sweep_act_a2_n250_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n250_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n250_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n250_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n250_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a2_n250_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/8/sweep_act_a2_n250_seed0/wandb/wandb/offline-run-20260713_233928-ix8usb1s""]",736,primary,complete,
act,A3_obj_rel_ee_delta,250,v3_scale_n250,sweep_act_a3_n250_seed0,11281591,efa39434a123dab4d029f5f4ffdb122844892a6d,79dd3e819c2fbb2d21b9cf3848df7942bd6e69f163a9d82ef892710f5e39d27b,3b528ceb451e9547c2aec76d47dafbf7129f870bdfaa6c691769304487ca615f,0d130ab0f43a14d1f32db42e5e6480881274e86b8147ce3316640e9e4c4f8166,963a3d358acf6c26aa58702c66432df6cb60984d22cacae6bd2628881255c1b5,1d5db054fb50ad4144ea5984d3de0b8f63c6f2ff3ee6e3838641f5e95c88fa5e,c6ee53a3fece31ec45d3b32e6605343bb1298fac10e89c899641b9bbbc95a64b,sweep_act_a3_n250_seed0,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/9/sweep_act_a3_n250_seed0/checkpoints/best.pt,dfba1100856b651c74c884fb025be9f870756c2d431958316756c5a08a29d14a,/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/9/sweep_act_a3_n250_seed0/metrics/open_loop.json,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n250_seed0/D0.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n250_seed0/D1.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n250_seed0/D2.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n250_seed0/D3.json"",""/home/pacquadr/Desktop/DoorManipulation/outputs/phase3_unified_evaluation/workspace/results/primary/sweep_act_a3_n250_seed0/D4.json""]",/home/pacquadr/Desktop/DoorManipulation/outputs/curated/phase3_unified_evaluation/normalized_rollouts.csv,"[""/home/pacquadr/Desktop/DoorManipulation/outputs/cluster_sweep/returned/11281591/attempts/11281591/9/sweep_act_a3_n250_seed0/wandb/wandb/offline-run-20260713_233928-pq9a2goh""]",736,primary,complete,
